fra;jour;P_f;P_h;P;T_f;T_h;T;cl_age90
FR;2020-05-13;7;6;13;597;644;1273;09
FR;2020-05-13;21;7;28;855;805;1680;19
FR;2020-05-13;65;41;106;2781;1861;4663;29
FR;2020-05-13;66;43;109;3370;2313;5696;39
FR;2020-05-13;62;41;103;3570;2289;5873;49
FR;2020-05-13;64;53;117;3511;2458;5979;59
FR;2020-05-13;36;54;92;2273;2138;4432;69
FR;2020-05-13;40;48;89;1729;1686;3433;79
FR;2020-05-13;79;39;118;2410;1335;3763;89
FR;2020-05-13;87;26;113;1955;603;2561;90
FR;2020-05-13;535;360;898;23224;16237;39641;0
FR;2020-05-14;8;5;18;622;834;1489;09
FR;2020-05-14;14;25;42;977;907;1901;19
FR;2020-05-14;54;61;116;3226;1984;5244;29
FR;2020-05-14;63;49;112;3731;2395;6150;39
FR;2020-05-14;65;53;121;3718;2382;6125;49
FR;2020-05-14;73;53;128;3830;2504;6355;59
FR;2020-05-14;35;40;87;2403;2254;4682;69
FR;2020-05-14;38;44;82;1927;1901;3842;79
FR;2020-05-14;97;62;165;2374;1439;3827;89
FR;2020-05-14;102;17;119;1918;576;2519;90
FR;2020-05-14;561;415;1010;25139;17455;42837;0
FR;2020-05-15;9;9;18;897;1073;2074;09
FR;2020-05-15;16;23;41;1171;1144;2344;19
FR;2020-05-15;66;64;134;3464;2441;5961;29
FR;2020-05-15;67;65;136;3864;2810;6742;39
FR;2020-05-15;58;56;117;3967;2795;6797;49
FR;2020-05-15;68;60;131;3957;2905;6886;59
FR;2020-05-15;39;52;91;2851;2591;5456;69
FR;2020-05-15;55;47;106;2246;2246;4517;79
FR;2020-05-15;111;44;161;2634;1610;4271;89
FR;2020-05-15;83;28;117;2046;572;2662;90
FR;2020-05-15;576;450;1060;27235;20278;47949;0
FR;2020-05-16;6;4;10;422;455;885;09
FR;2020-05-16;5;8;13;418;374;802;19
FR;2020-05-16;22;15;37;1087;788;1891;29
FR;2020-05-16;9;16;25;1348;901;2265;39
FR;2020-05-16;22;17;39;1291;900;2204;49
FR;2020-05-16;11;20;31;1249;1056;2315;59
FR;2020-05-16;11;11;22;940;950;1898;69
FR;2020-05-16;14;13;27;775;868;1650;79
FR;2020-05-16;24;22;47;869;678;1553;89
FR;2020-05-16;34;3;37;618;216;839;90
FR;2020-05-16;158;129;288;9018;7190;16307;0
FR;2020-05-17;2;4;6;168;233;405;09
FR;2020-05-17;3;1;4;142;132;276;19
FR;2020-05-17;8;9;17;351;252;607;29
FR;2020-05-17;6;4;10;423;300;727;39
FR;2020-05-17;8;6;14;347;291;648;49
FR;2020-05-17;14;3;17;375;343;722;59
FR;2020-05-17;7;9;16;305;443;750;69
FR;2020-05-17;3;13;16;349;461;812;79
FR;2020-05-17;15;7;22;479;411;891;89
FR;2020-05-17;11;6;17;315;143;459;90
FR;2020-05-17;77;62;139;3255;3009;6298;0
FR;2020-05-18;20;13;35;1005;1152;2190;09
FR;2020-05-18;30;20;50;1255;1208;2476;19
FR;2020-05-18;80;44;125;3699;2451;6186;29
FR;2020-05-18;57;50;110;4343;2860;7249;39
FR;2020-05-18;62;55;117;4169;2900;7117;49
FR;2020-05-18;70;46;116;4193;3049;7278;59
